Ranking,Organization,Model,Dataset Score (N=422),Pct. Imputed
1,ForecastBench,Superforecaster median forecast,0.118,0%
2,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad),0.139,0%
3,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad with news),0.142,0%
4,Anthropic,Claude-3-5-Sonnet-20240620 (zero shot),0.146,0%
5,Anthropic,Claude-3-5-Sonnet-20240620 (superforecaster with news 1),0.151,0%
6,ForecastBench,Public median forecast,0.153,0%
7,Anthropic,Claude-3-Opus-20240229 (superforecaster with news 1),0.158,0%
8,Anthropic,Claude-3-5-Sonnet-20240620 (superforecaster with news 3),0.158,6%
9,Anthropic,Claude-3-Opus-20240229 (scratchpad),0.16,0%
10,OpenAI,GPT-4o (scratchpad),0.162,0%
11,Mistral AI,Mistral-Large-Latest (scratchpad),0.162,0%
12,OpenAI,GPT-4o (scratchpad with news),0.162,0%
13,OpenAI,GPT-4-Turbo-2024-04-09 (zero shot),0.162,0%
14,Google,Gemini-1.5-Pro (scratchpad),0.163,0%
15,Anthropic,Claude-3-Opus-20240229 (zero shot),0.163,0%
16,Google,Gemini-1.5-Pro (scratchpad with news),0.164,0%
17,OpenAI,GPT-4 (zero shot),0.168,0%
18,OpenAI,GPT-4 (scratchpad),0.174,0%
19,Mistral AI,Mistral-Large-Latest (zero shot),0.174,0%
20,Anthropic,Claude-3-Opus-20240229 (superforecaster with news 2),0.175,0%
21,OpenAI,GPT-4-Turbo-2024-04-09 (scratchpad),0.177,0%
22,Anthropic,Claude-3-Opus-20240229 (superforecaster with news 3),0.177,14%
23,OpenAI,GPT-4-Turbo-2024-04-09 (scratchpad with news),0.179,0%
24,Qwen,Qwen1.5-110B-Chat (scratchpad with news),0.18,0%
25,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (scratchpad),0.182,0%
26,Google,Gemini-1.5-Pro (superforecaster with news 3),0.183,0%
27,Qwen,Qwen1.5-110B-Chat (scratchpad),0.183,0%
28,Anthropic,Claude-3-Opus-20240229 (scratchpad with news),0.184,0%
29,Google,Gemini-1.5-Pro (zero shot),0.185,0%
30,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (zero shot),0.185,0%
31,Google,Gemini-1.5-Flash (zero shot),0.191,0%
32,Meta,Llama-3-70b-Chat-Hf (scratchpad),0.191,0%
33,Anthropic,Claude-3-5-Sonnet-20240620 (superforecaster with news 2),0.195,1%
34,Meta,Llama-3-70b-Chat-Hf (zero shot),0.195,0%
35,OpenAI,GPT-4-Turbo-2024-04-09 (superforecaster with news 1),0.195,0%
36,Qwen,Qwen1.5-110B-Chat (zero shot),0.197,0%
37,OpenAI,GPT-4o (zero shot),0.197,0%
38,OpenAI,GPT-4o (superforecaster with news 3),0.198,15%
39,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad with SECOND news),0.198,0%
40,OpenAI,GPT-4-Turbo-2024-04-09 (superforecaster with news 3),0.199,23%
41,Mistral AI,Mistral-Large-Latest (scratchpad with news),0.202,0%
42,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (scratchpad with news),0.202,0%
