Ranking,Organization,Model,"Dataset Score (N=1,132)",Pct. Imputed
1,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad),0.156,0%
2,Anthropic,Claude-3-5-Sonnet-20240620 (zero shot),0.159,0%
3,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad with news),0.166,0%
4,Anthropic,Claude-3-5-Sonnet-20240620 (superforecaster with news 1),0.166,0%
5,Anthropic,Claude-3-Opus-20240229 (scratchpad),0.172,0%
6,OpenAI,GPT-4-Turbo-2024-04-09 (zero shot),0.172,0%
7,Google,Gemini-1.5-Pro (scratchpad),0.174,0%
8,Anthropic,Claude-3-Opus-20240229 (superforecaster with news 1),0.178,0%
9,OpenAI,GPT-4o (scratchpad),0.178,0%
10,OpenAI,GPT-4-Turbo-2024-04-09 (scratchpad),0.179,0%
11,Anthropic,Claude-3-Opus-20240229 (zero shot),0.18,0%
12,Anthropic,Claude-3-5-Sonnet-20240620 (superforecaster with news 3),0.182,6%
13,OpenAI,GPT-4 (zero shot),0.182,0%
14,Mistral AI,Mistral-Large-Latest (scratchpad),0.184,0%
15,Qwen,Qwen1.5-110B-Chat (scratchpad),0.184,0%
16,Google,Gemini-1.5-Pro (scratchpad with news),0.184,0%
17,OpenAI,GPT-4o (scratchpad with news),0.188,0%
18,Anthropic,Claude-3-Opus-20240229 (superforecaster with news 2),0.188,0%
19,OpenAI,GPT-4 (scratchpad),0.188,0%
20,Qwen,Qwen1.5-110B-Chat (scratchpad with news),0.189,0%
21,OpenAI,GPT-4-Turbo-2024-04-09 (scratchpad with news),0.193,0%
22,Mistral AI,Mistral-Large-Latest (zero shot),0.196,0%
23,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (scratchpad),0.197,0%
24,Anthropic,Claude-3-Opus-20240229 (scratchpad with news),0.197,0%
25,Qwen,Qwen1.5-110B-Chat (zero shot),0.198,0%
26,Google,Gemini-1.5-Pro (superforecaster with news 3),0.198,0%
27,Anthropic,Claude-3-Opus-20240229 (superforecaster with news 3),0.199,16%
28,Google,Gemini-1.5-Pro (zero shot),0.202,0%
29,Qwen,Qwen1.5-110B-Chat (superforecaster with news 1),0.202,0%
30,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (zero shot),0.202,0%
31,Anthropic,Claude-3-5-Sonnet-20240620 (superforecaster with news 2),0.203,0%
32,Meta,Llama-3-70b-Chat-Hf (scratchpad),0.204,0%
33,Meta,Llama-3-8b-Chat-Hf (zero shot),0.205,0%
34,Mistral AI,Mistral-Large-Latest (superforecaster with news 2),0.206,3%
35,Meta,Llama-3-70b-Chat-Hf (zero shot),0.206,0%
36,OpenAI,GPT-4-Turbo-2024-04-09 (superforecaster with news 1),0.206,0%
37,Mistral AI,Mistral-Large-Latest (scratchpad with news),0.208,0%
38,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (scratchpad with news),0.208,0%
39,OpenAI,GPT-4o (zero shot),0.208,0%
40,OpenAI,GPT-4-Turbo-2024-04-09 (superforecaster with news 3),0.208,26%
41,OpenAI,GPT-4o (superforecaster with news 3),0.209,15%
42,Google,Gemini-1.5-Flash (scratchpad),0.21,0%
43,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad with SECOND news),0.21,0%
44,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 1),0.21,0%
45,Google,Gemini-1.5-Flash (zero shot),0.211,0%
46,Google,Gemini-1.5-Pro (superforecaster with news 1),0.213,0%
47,Qwen,Qwen1.5-110B-Chat (superforecaster with news 3),0.213,13%
48,OpenAI,GPT-4o (superforecaster with news 1),0.213,0%
49,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (scratchpad),0.214,0%
50,Mistral AI,Mistral-Large-Latest (superforecaster with news 1),0.214,0%
51,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (zero shot),0.217,0%
52,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 3),0.219,31%
53,Anthropic,Claude-2.1 (zero shot),0.22,0%
54,Google,Gemini-1.5-Pro (superforecaster with news 2),0.222,0%
55,Anthropic,Claude-2.1 (scratchpad with news),0.224,1%
56,Google,Gemini-1.5-Flash (scratchpad with news),0.224,0%
57,Qwen,Qwen1.5-110B-Chat (superforecaster with news 2),0.226,6%
58,Mistral AI,Mistral-Large-Latest (superforecaster with news 3),0.226,16%
59,OpenAI,GPT-4-Turbo-2024-04-09 (superforecaster with news 2),0.227,5%
60,Anthropic,Claude-2.1 (scratchpad),0.228,1%
61,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 2),0.231,4%
62,Anthropic,Claude-2.1 (superforecaster with news 3),0.233,8%
63,Meta,Llama-3-8b-Chat-Hf (scratchpad),0.233,0%
64,ForecastBench,"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) median with news",0.237,75%
65,ForecastBench,"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) geometric mean with news",0.237,75%
66,ForecastBench,"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) geometric mean log odds with news",0.238,75%
67,Anthropic,Claude-2.1 (superforecaster with news 2),0.239,2%
68,OpenAI,GPT-4o (scratchpad with SECOND news),0.239,7%
69,Meta,Llama-2-70b-Chat-Hf (scratchpad),0.241,0%
70,Anthropic,Claude-3-Haiku-20240307 (scratchpad),0.242,0%
71,Google,Gemini-1.5-Flash (superforecaster with news 2),0.242,0%
