Team,Model Organization,Model,Dataset,N dataset,Dataset 95% CI,Market,N market,Market 95% CI,Overall,N,Overall 95% CI,Model release date
ForecastBench,ForecastBench,Superforecaster median forecast,63.7,521,"[63.3, 64.4]",78.1,56,"[77.9, 81.4]",70.0,577,"[70.1, 71.6]",
Google DeepMind,Google DeepMind,green tree,65.2,487,"[64.3, 66.7]",71.1,117,"[69.1, 72.4]",68.0,604,"[67.1, 68.6]",2026-03-15
xAI,xAI,"Grok 4.20 (Beta, C)",62.6,439,"[60.8, 62.5]",74.5,80,"[73.2, 77.2]",68.0,519,"[67.1, 68.8]",2026-04-12
xAI,xAI,"Grok 4.20 (Beta, D)",62.7,439,"[61.0, 62.7]",74.5,80,"[73.2, 77.2]",68.0,519,"[67.2, 68.9]",2026-04-12
Google DeepMind,Google DeepMind,yellow mouse,63.5,487,"[63.2, 64.1]",72.1,117,"[71.2, 72.8]",67.5,604,"[67.3, 67.8]",2026-03-15
Cassi-AI,Cassi-AI,Cassi ensemble_2_crowdadj,61.4,1900,"[61.1, 61.7]",74.1,206,"[73.2, 75.0]",67.2,2106,"[66.8, 67.6]",2025-10-26
xAI,xAI,Grok 4.20 (Preview),62.0,970,"[61.4, 62.3]",73.2,104,"[70.5, 77.0]",67.1,1074,"[65.9, 68.2]",2025-10-26
ForecastBench,OpenAI,gpt-5-2025-08-07†,61.2,3028,"[60.9, 61.4]",73.0,291,"[72.7, 74.2]",66.6,3319,"[66.3, 67.1]",2025-08-07
Lightning Rod Labs,Lightning Rod Labs,Foresight-32B,61.0,930,"[60.2, 61.3]",73.3,102,"[72.6, 75.4]",66.6,1032,"[65.8, 67.5]",2025-11-09
xAI,xAI,"Grok 4.20 (Beta, B)",61.1,491,"[60.6, 61.4]",73.2,102,"[71.7, 75.4]",66.6,593,"[65.9, 67.3]",2026-03-29
xAI,xAI,"Grok 4.20 (Beta, A)",61.4,491,"[60.8, 61.7]",72.5,102,"[70.8, 74.7]",66.5,593,"[65.7, 67.3]",2026-03-29
ForecastBench,Google DeepMind,gemini-3-pro-preview†,61.0,4080,"[60.7, 61.2]",72.8,454,"[71.9, 73.8]",66.4,4534,"[65.8, 66.8]",2025-11-18
ForecastBench,Anthropic,claude-3-7-sonnet-20250219-scratchpad-with-freeze-values,60.3,10094,"[60.2, 60.5]",73.4,641,"[72.5, 74.1]",66.2,10735,"[65.8, 66.6]",2025-02-19
ForecastBench,xAI,grok-4-0709†,60.0,5260,"[60.0, 60.3]",73.9,554,"[72.9, 74.3]",66.2,5814,"[65.8, 66.6]",2025-07-09
ForecastBench,OpenAI,gpt-4.5-preview-2025-02-27-scratchpad-with-freeze-values,61.2,2884,"[61.2, 61.3]",72.0,190,"[70.4, 73.2]",66.2,3074,"[65.5, 66.7]",2025-02-27
ForecastBench,OpenAI,gpt-4.5-preview-2025-02-27†,59.9,2884,"[59.7, 60.0]",73.8,190,"[72.9, 74.6]",66.2,3074,"[65.8, 66.5]",2025-02-27
LightningRodLabs,LightningRodLabs,foresight-32b-V2,59.6,721,"[58.8, 60.8]",74.4,50,"[73.2, 76.7]",66.2,771,"[65.8, 67.2]",2026-01-04
Voicetree,Voicetree,voicetree-decisionflow-v0,59.4,439,"[58.7, 60.3]",74.8,80,"[73.5, 74.7]",66.2,519,"[65.3, 66.6]",2026-04-12
Voicetree,Voicetree,voicetree-decisionflow-v0_green,59.4,439,"[58.8, 60.3]",74.8,80,"[73.5, 75.0]",66.2,519,"[65.4, 66.7]",2026-04-12
ForecastBench,xAI,grok-4-fast-reasoning†,60.2,6467,"[60.0, 60.2]",73.2,777,"[72.2, 73.7]",66.1,7244,"[65.6, 66.3]",2025-09-19
ForecastBench,Anthropic,claude-opus-4-5-20251101†,60.0,2402,"[59.9, 60.5]",73.4,244,"[72.0, 73.6]",66.1,2646,"[65.6, 66.3]",2025-11-01
ForecastBench,OpenAI,o3-2025-04-16†,60.4,6732,"[60.4, 60.7]",72.6,642,"[70.6, 72.9]",66.0,7374,"[65.1, 66.2]",2025-04-16
Cassi-AI,Cassi-AI,Cassi ensemble_2,61.4,1900,"[61.1, 61.7]",71.2,206,"[70.5, 72.1]",66.0,2106,"[65.6, 66.4]",2025-10-26
Voicetree,Voicetree,voicetree-decisionflow-v0_red,59.2,439,"[58.5, 60.2]",74.5,80,"[73.3, 74.9]",66.0,519,"[65.1, 66.6]",2026-04-12
ForecastBench,Anthropic,claude-opus-4-1-20250805†,60.2,8525,"[60.1, 60.3]",72.4,1044,"[71.6, 73.3]",65.7,9569,"[65.4, 66.2]",2025-08-05
ForecastBench,xAI,grok-4-1-fast-reasoning†,60.1,5497,"[59.9, 60.1]",72.5,753,"[71.4, 73.2]",65.7,6250,"[65.2, 66.0]",2025-11-17
ForecastBench,OpenAI,o4-mini-2025-04-16†,60.8,5106,"[60.6, 61.0]",71.5,376,"[71.7, 73.9]",65.7,5482,"[65.8, 66.8]",2025-04-16
ForecastBench,Google DeepMind,gemini-2.5-pro-preview-03-25†,61.0,1472,"[60.5, 61.4]",71.1,88,"[69.3, 72.3]",65.7,1560,"[65.0, 66.3]",2025-04-04
ForecastBench,Anthropic,claude-sonnet-4-5-20250929-1024†,60.0,7397,"[59.9, 60.0]",72.3,959,"[71.1, 73.2]",65.6,8356,"[65.1, 65.9]",2025-09-29
